"cod_elettorale","cod_istat","cod_catastale","desc_comune","cod_comune","desc_provincia","cod_provincia","desc_regione","cod_regione","ele_f","ele_m","ele_t","vot_f","vot_m","vot_t","perc_affluenza","pos_candidato","cognome","nome","voti_candidato","perc_candidato","eletto","pos_lista","nome_lista","voti_lista","perc_lista"
"010020880","006090","E870","MALVICINO","0880","ALESSANDRIA","002","PIEMONTE","01",47,36,83,37,26,63,75.9,6,"MANFRINETTI","CRISTINA",62,100,"S",6,"SPIGA DI GRANO",62,100
"010020880","006090","E870","MALVICINO","0880","ALESSANDRIA","002","PIEMONTE","01",47,36,83,37,26,63,75.9,1,"RAMAGLIA","LUIGI",0,0,NA,1,"INSIEME",0,0
"010020880","006090","E870","MALVICINO","0880","ALESSANDRIA","002","PIEMONTE","01",47,36,83,37,26,63,75.9,2,"CARPANETO","MARIO",0,0,NA,2,"FORZA DEL POPOLO",0,0
"010020880","006090","E870","MALVICINO","0880","ALESSANDRIA","002","PIEMONTE","01",47,36,83,37,26,63,75.9,3,"MERLIN","BRUNO ISAIA",0,0,NA,3,"PROGETTO PAESE",0,0
"010020880","006090","E870","MALVICINO","0880","ALESSANDRIA","002","PIEMONTE","01",47,36,83,37,26,63,75.9,4,"CUPPONE","FABIO",0,0,NA,4,"VICINI A MALVICINO",0,0
"010020880","006090","E870","MALVICINO","0880","ALESSANDRIA","002","PIEMONTE","01",47,36,83,37,26,63,75.9,5,"GAUDIO","ANDREA",0,0,NA,5,"PROGETTO POPOLARE",0,0
"010271440","004144","F743","MOROZZO","1440","CUNEO","027","PIEMONTE","01",759,780,1539,437,431,868,56.4,1,"COSTAMAGNA","SERGIO",821,100,"S",1,"ASCOLTO E SERVIZIO",821,100
"010272010","004201","H710","SALICETO","2010","CUNEO","027","PIEMONTE","01",627,598,1225,362,356,718,58.61,2,"GENTA","GIOVANNI",458,65.62,"S",2,"INSIEME PER SALICETO",458,65.62
"010272010","004201","H710","SALICETO","2010","CUNEO","027","PIEMONTE","01",627,598,1225,362,356,718,58.61,1,"CENERO","LUCIANO",240,34.38,NA,1,"SALICETIAMO INSIEME",240,34.38
"010272090","004209","H852","SANFRONT","2090","CUNEO","027","PIEMONTE","01",963,923,1886,661,637,1298,68.82,1,"LOMBARDO","FRANCESCO",1185,100,"S",1,"INSIEME PER SANFRONT",1185,100
"010521060","003112","G134","ORTA SAN GIULIO","1060","NOVARA","052","PIEMONTE","01",461,376,837,241,195,436,52.09,1,"ANGELERI","GIORGIO",372,100,"S",1,"ORTA BENE DI TUTTI",372,100
